,id,origin,destination,distance,hard_cap
0,e_0,v_7,v_2,14,3
1,e_1,v_11,v_1,22,2
2,e_2,v_7,v_1,15,1
3,e_3,v_6,v_7,14,3
4,e_4,v_8,v_13,22,3
5,e_5,v_13,v_20,26,3
6,e_6,v_11,v_7,11,1
7,e_7,v_12,v_18,11,2
8,e_8,v_16,v_4,16,3
9,e_9,v_9,v_20,3,3
10,e_10,v_11,v_17,18,2
11,e_11,v_2,v_17,22,3
12,e_12,v_1,v_13,26,3
13,e_13,v_8,v_12,22,2
14,e_14,v_6,v_4,11,2
15,e_15,v_11,v_19,22,1
16,e_16,v_15,v_4,23,3
17,e_17,v_7,v_20,15,1
18,e_18,v_3,v_12,18,3
19,e_19,v_11,v_8,16,3
20,e_20,v_15,v_13,5,2
21,e_21,v_5,v_2,13,1
22,e_22,v_16,v_2,16,2
23,e_23,v_5,v_18,7,1
24,e_24,v_2,v_4,24,1
25,e_25,v_17,v_8,5,1
26,e_26,v_6,v_15,24,3
27,e_27,v_17,v_6,10,3
28,e_28,v_4,v_9,10,2
29,e_29,v_13,v_8,22,3
