,id,origin,destination,distance,arc_cap
0,e_0,v_14,v_17,10,9
1,e_1,v_3,v_10,9,9
2,e_2,v_12,v_4,28,4
3,e_3,v_15,v_6,24,3
4,e_4,v_8,v_12,22,12
5,e_5,v_12,v_5,17,6
6,e_6,v_19,v_9,3,4
7,e_7,v_16,v_9,10,3
8,e_8,v_19,v_6,1,11
9,e_9,v_9,v_17,9,5
10,e_10,v_7,v_16,11,2
11,e_11,v_7,v_6,14,1
12,e_12,v_17,v_6,10,14
13,e_13,v_8,v_6,7,9
14,e_14,v_3,v_19,8,11
15,e_15,v_9,v_18,15,8
16,e_16,v_4,v_9,10,14
17,e_17,v_10,v_8,10,5
18,e_18,v_17,v_2,22,7
19,e_19,v_20,v_11,22,14
20,e_20,v_3,v_6,7,13
21,e_21,v_6,v_1,1,9
22,e_22,v_1,v_11,22,13
23,e_23,v_14,v_6,5,4
24,e_24,v_18,v_10,18,3
25,e_25,v_15,v_14,20,9
26,e_26,v_16,v_3,4,3
27,e_27,v_5,v_15,12,4
28,e_28,v_3,v_17,10,15
29,e_29,v_3,v_18,10,8
30,e_30,v_1,v_2,25,2
31,e_31,v_10,v_9,4,4
32,e_32,v_14,v_8,6,11
33,e_33,v_12,v_18,11,4
34,e_34,v_2,v_15,2,2
35,e_35,v_1,v_18,17,15
36,e_36,v_5,v_14,10,4
37,e_37,v_8,v_17,5,1
38,e_38,v_17,v_18,16,8
39,e_39,v_5,v_2,13,8
40,e_40,v_6,v_18,16,15
41,e_41,v_4,v_16,16,5
42,e_42,v_10,v_17,12,5
43,e_43,v_14,v_2,20,13
44,e_44,v_12,v_10,25,14
45,e_45,v_2,v_8,20,6
46,e_46,v_16,v_17,14,2
47,e_47,v_4,v_7,10,7
48,e_48,v_2,v_19,25,11
49,e_49,v_6,v_20,1,5
