,id,origin,destination
0,k_0,v_1,v_8
1,k_1,v_9,v_4
2,k_2,v_2,v_9
3,k_3,v_17,v_18
4,k_4,v_19,v_10
5,k_5,v_13,v_6
6,k_6,v_20,v_6
7,k_7,v_10,v_7
8,k_8,v_7,v_11
9,k_9,v_7,v_10
10,k_10,v_10,v_16
11,k_11,v_1,v_18
12,k_12,v_9,v_1
13,k_13,v_2,v_19
14,k_14,v_2,v_6
15,k_15,v_13,v_14
16,k_16,v_6,v_18
17,k_17,v_5,v_1
18,k_18,v_14,v_10
19,k_19,v_17,v_13
20,k_20,v_2,v_10
21,k_21,v_2,v_7
22,k_22,v_3,v_12
23,k_23,v_9,v_11
24,k_24,v_19,v_11
25,k_25,v_4,v_18
26,k_26,v_18,v_11
27,k_27,v_7,v_14
28,k_28,v_18,v_7
29,k_29,v_20,v_3
30,k_30,v_5,v_16
31,k_31,v_4,v_8
32,k_32,v_14,v_8
33,k_33,v_1,v_11
34,k_34,v_16,v_7
35,k_35,v_16,v_18
36,k_36,v_10,v_8
37,k_37,v_5,v_13
38,k_38,v_17,v_11
39,k_39,v_17,v_11
40,k_40,v_13,v_4
41,k_41,v_11,v_9
42,k_42,v_20,v_10
43,k_43,v_17,v_9
44,k_44,v_6,v_18
45,k_45,v_10,v_19
46,k_46,v_3,v_13
47,k_47,v_4,v_16
48,k_48,v_10,v_16
49,k_49,v_20,v_4
50,k_50,v_8,v_12
51,k_51,v_11,v_1
52,k_52,v_11,v_16
53,k_53,v_5,v_9
54,k_54,v_3,v_18
55,k_55,v_20,v_16
56,k_56,v_20,v_8
57,k_57,v_2,v_3
58,k_58,v_15,v_3
59,k_59,v_5,v_18
60,k_60,v_17,v_14
61,k_61,v_3,v_12
62,k_62,v_4,v_8
63,k_63,v_8,v_19
64,k_64,v_2,v_16
65,k_65,v_6,v_7
66,k_66,v_20,v_6
67,k_67,v_11,v_8
68,k_68,v_3,v_10
69,k_69,v_13,v_18
70,k_70,v_7,v_19
71,k_71,v_7,v_9
72,k_72,v_9,v_11
73,k_73,v_15,v_1
74,k_74,v_5,v_14
75,k_75,v_3,v_18
76,k_76,v_12,v_11
77,k_77,v_9,v_10
78,k_78,v_19,v_9
79,k_79,v_4,v_13
80,k_80,v_4,v_12
81,k_81,v_13,v_4
82,k_82,v_7,v_10
83,k_83,v_2,v_6
84,k_84,v_15,v_8
85,k_85,v_6,v_3
86,k_86,v_15,v_6
87,k_87,v_13,v_3
88,k_88,v_5,v_13
89,k_89,v_5,v_18
90,k_90,v_9,v_19
91,k_91,v_14,v_7
92,k_92,v_7,v_6
93,k_93,v_20,v_7
94,k_94,v_2,v_7
95,k_95,v_4,v_18
96,k_96,v_20,v_16
97,k_97,v_1,v_6
98,k_98,v_18,v_11
99,k_99,v_18,v_7
100,k_100,v_8,v_18
101,k_101,v_2,v_4
102,k_102,v_1,v_9
103,k_103,v_11,v_7
104,k_104,v_13,v_14
105,k_105,v_10,v_11
106,k_106,v_10,v_19
107,k_107,v_5,v_14
108,k_108,v_15,v_16
109,k_109,v_19,v_11
110,k_110,v_7,v_4
111,k_111,v_13,v_4
112,k_112,v_8,v_10
113,k_113,v_18,v_9
114,k_114,v_14,v_13
115,k_115,v_2,v_10
116,k_116,v_16,v_14
117,k_117,v_2,v_6
118,k_118,v_7,v_18
119,k_119,v_17,v_1
120,k_120,v_20,v_6
121,k_121,v_13,v_11
122,k_122,v_7,v_6
123,k_123,v_11,v_1
124,k_124,v_8,v_3
125,k_125,v_4,v_16
126,k_126,v_7,v_19
127,k_127,v_7,v_19
128,k_128,v_11,v_10
129,k_129,v_20,v_10
130,k_130,v_3,v_8
131,k_131,v_13,v_9
132,k_132,v_10,v_13
133,k_133,v_15,v_1
134,k_134,v_1,v_13
135,k_135,v_5,v_10
136,k_136,v_7,v_14
137,k_137,v_12,v_8
138,k_138,v_9,v_1
139,k_139,v_6,v_3
140,k_140,v_6,v_11
141,k_141,v_9,v_19
142,k_142,v_5,v_7
143,k_143,v_3,v_14
144,k_144,v_3,v_1
145,k_145,v_1,v_18
146,k_146,v_15,v_10
147,k_147,v_12,v_18
148,k_148,v_5,v_13
149,k_149,v_15,v_8
