,id,origin,destination,distance,hard_cap
0,"e_21,23,21,21","21,23","21,21",2,1
1,"e_9,22,8,22","9,22","8,22",1,1
2,"e_12,6,15,6","12,6","15,6",3,1
3,"e_6,1,4,2","6,1","4,2",3,1
4,"e_8,22,9,22","8,22","9,22",1,2
5,"e_8,22,6,21","8,22","6,21",3,1
6,"e_15,6,12,6","15,6","12,6",3,1
7,"e_6,21,8,22","6,21","8,22",3,2
8,"e_4,2,6,1","4,2","6,1",3,1
9,"e_21,21,21,23","21,21","21,23",2,2
10,"e_10,2,12,6","10,2","12,6",6,1
11,"e_21,23,12,6","21,23","12,6",26,2
12,"e_9,22,12,24","9,22","12,24",5,1
13,"e_12,6,10,2","12,6","10,2",6,2
14,"e_23,3,18,18","23,3","18,18",20,2
15,"e_7,6,15,6","7,6","15,6",8,1
16,"e_6,1,2,5","6,1","2,5",8,1
17,"e_8,22,21,23","8,22","21,23",14,1
18,"e_12,20,12,24","12,20","12,24",4,1
19,"e_12,24,10,2","12,24","10,2",24,2
20,"e_15,6,9,14","15,6","9,14",14,1
21,"e_13,0,15,6","13,0","15,6",8,2
22,"e_2,5,9,22","2,5","9,22",24,1
23,"e_6,21,9,14","6,21","9,14",10,2
24,"e_9,18,6,1","9,18","6,1",20,2
25,"e_18,18,7,6","18,18","7,6",23,1
26,"e_4,2,17,2","4,2","17,2",13,2
27,"e_9,14,21,21","9,14","21,21",19,1
28,"e_21,21,9,14","21,21","9,14",19,1
29,"e_17,2,4,2","17,2","4,2",13,2
