,id,demand,origin,destination
0,k_0,1,"3,20","18,6"
1,k_1,1,"21,9","9,3"
2,k_2,1,"12,19","9,3"
3,k_3,1,"14,14","20,20"
4,k_4,1,"13,9","18,9"
5,k_5,1,"23,15","19,1"
6,k_6,1,"13,9","9,3"
7,k_7,1,"13,9","16,5"
8,k_8,1,"7,2","20,20"
9,k_9,1,"16,5","9,3"
10,k_10,1,"14,14","20,20"
11,k_11,1,"21,9","11,0"
12,k_12,1,"11,0","21,9"
13,k_13,1,"7,22","20,20"
14,k_14,1,"19,1","11,0"
15,k_15,1,"14,12","18,6"
16,k_16,1,"18,9","23,15"
17,k_17,1,"23,15","18,9"
18,k_18,1,"0,17","3,20"
19,k_19,1,"13,9","9,3"
20,k_20,1,"21,9","23,15"
21,k_21,1,"14,14","22,2"
22,k_22,1,"15,20","18,9"
23,k_23,1,"23,15","13,9"
24,k_24,1,"7,22","7,2"
25,k_25,1,"16,5","23,15"
26,k_26,1,"23,15","17,1"
27,k_27,1,"18,6","9,3"
28,k_28,1,"0,17","7,2"
29,k_29,1,"18,6","23,15"
30,k_30,1,"21,9","23,15"
31,k_31,1,"14,12","22,2"
32,k_32,1,"20,20","19,1"
33,k_33,1,"3,20","22,2"
34,k_34,1,"12,19","9,3"
35,k_35,1,"19,1","13,9"
36,k_36,1,"7,22","7,2"
37,k_37,1,"17,1","9,3"
38,k_38,1,"3,20","18,9"
39,k_39,1,"14,14","21,9"
40,k_40,1,"20,20","21,9"
41,k_41,1,"11,0","14,14"
42,k_42,1,"13,9","22,2"
43,k_43,1,"16,5","20,20"
44,k_44,1,"18,9","19,1"
45,k_45,1,"23,15","9,3"
46,k_46,1,"0,17","9,3"
47,k_47,1,"13,9","16,5"
48,k_48,1,"14,14","18,9"
49,k_49,1,"14,14","7,2"
50,k_50,1,"13,9","7,2"
51,k_51,1,"22,2","16,5"
52,k_52,1,"12,19","14,14"
53,k_53,1,"11,0","22,2"
54,k_54,1,"14,14","3,20"
