,id,origin,destination
0,k_0,"0,49","49,35"
1,k_1,"30,1","29,47"
2,k_2,"14,8","16,43"
3,k_3,"30,1","46,11"
4,k_4,"46,11","0,16"
5,k_5,"13,39","46,39"
6,k_6,"0,16","12,42"
7,k_7,"33,15","46,10"
8,k_8,"0,49","29,47"
9,k_9,"32,26","13,39"
10,k_10,"0,16","12,42"
11,k_11,"40,12","39,8"
12,k_12,"48,39","33,15"
13,k_13,"14,8","46,10"
14,k_14,"0,49","44,43"
15,k_15,"6,22","30,1"
16,k_16,"39,8","33,15"
17,k_17,"46,10","13,23"
18,k_18,"46,11","14,8"
19,k_19,"0,16","2,23"
20,k_20,"46,39","13,23"
21,k_21,"13,23","4,48"
22,k_22,"4,48","12,42"
23,k_23,"15,44","29,47"
24,k_24,"19,48","14,8"
25,k_25,"33,15","30,1"
26,k_26,"13,39","46,11"
27,k_27,"25,15","46,10"
28,k_28,"44,43","46,10"
29,k_29,"2,23","19,48"
30,k_30,"12,42","19,48"
31,k_31,"0,16","32,26"
32,k_32,"0,16","6,22"
33,k_33,"48,39","4,48"
34,k_34,"48,39","12,42"
35,k_35,"6,22","4,48"
36,k_36,"13,23","0,49"
37,k_37,"49,35","46,10"
38,k_38,"32,26","46,39"
39,k_39,"25,15","46,11"
40,k_40,"44,43","19,48"
41,k_41,"16,43","2,23"
42,k_42,"15,44","16,43"
43,k_43,"29,47","33,15"
44,k_44,"48,39","29,47"
45,k_45,"0,49","44,43"
46,k_46,"46,11","2,23"
47,k_47,"12,42","40,12"
48,k_48,"46,11","0,49"
49,k_49,"15,44","13,23"
50,k_50,"48,39","46,11"
51,k_51,"14,8","25,15"
52,k_52,"6,22","25,15"
53,k_53,"25,15","2,23"
54,k_54,"49,35","44,43"
55,k_55,"0,49","4,48"
56,k_56,"16,43","32,26"
57,k_57,"29,47","16,43"
58,k_58,"29,47","40,12"
59,k_59,"40,12","12,42"
60,k_60,"4,48","16,43"
61,k_61,"48,39","30,1"
62,k_62,"46,10","12,42"
63,k_63,"12,42","48,39"
64,k_64,"14,8","49,35"
65,k_65,"30,1","32,26"
66,k_66,"46,10","14,8"
67,k_67,"0,49","46,11"
68,k_68,"44,43","14,8"
69,k_69,"46,11","29,47"
70,k_70,"46,10","40,12"
71,k_71,"32,26","46,11"
72,k_72,"29,47","19,48"
73,k_73,"46,39","40,12"
74,k_74,"6,22","19,48"
75,k_75,"0,49","6,22"
76,k_76,"33,15","32,26"
77,k_77,"46,11","0,16"
78,k_78,"25,15","16,43"
79,k_79,"12,42","39,8"
80,k_80,"46,11","30,1"
81,k_81,"15,44","12,42"
82,k_82,"40,12","46,11"
83,k_83,"33,15","29,47"
84,k_84,"29,47","46,10"
85,k_85,"13,23","48,39"
86,k_86,"39,8","48,39"
87,k_87,"14,8","29,47"
88,k_88,"6,22","12,42"
89,k_89,"32,26","16,43"
90,k_90,"32,26","30,1"
91,k_91,"39,8","33,15"
92,k_92,"46,39","13,23"
93,k_93,"46,10","13,39"
94,k_94,"40,12","0,49"
95,k_95,"32,26","33,15"
96,k_96,"13,23","33,15"
97,k_97,"0,16","46,39"
98,k_98,"29,47","0,16"
99,k_99,"0,16","2,23"
