,id,origin,destination,distance,arc_cap
0,"e_11,39,22,35","11,39","22,35",15,4
1,"e_11,39,11,47","11,39","11,47",8,2
2,"e_11,39,10,46","11,39","10,46",8,1
3,"e_41,40,45,44","41,40","45,44",8,1
4,"e_41,40,36,30","41,40","36,30",15,2
5,"e_41,40,41,34","41,40","41,34",6,3
6,"e_41,40,36,49","41,40","36,49",14,3
7,"e_41,40,33,34","41,40","33,34",14,1
8,"e_41,40,39,40","41,40","39,40",2,2
9,"e_31,4,34,5","31,4","34,5",4,2
10,"e_45,44,41,40","45,44","41,40",8,1
11,"e_45,44,41,34","45,44","41,34",14,4
12,"e_45,44,36,49","45,44","36,49",14,1
13,"e_45,44,39,40","45,44","39,40",10,4
14,"e_45,26,36,30","45,26","36,30",13,3
15,"e_45,26,41,34","45,26","41,34",12,2
16,"e_15,4,17,1","15,4","17,1",5,1
17,"e_15,4,6,1","15,4","6,1",12,4
18,"e_15,4,9,4","15,4","9,4",6,2
19,"e_16,25,25,28","16,25","25,28",12,3
20,"e_17,1,15,4","17,1","15,4",5,1
21,"e_17,1,6,1","17,1","6,1",11,3
22,"e_17,1,9,4","17,1","9,4",11,3
23,"e_22,35,11,39","22,35","11,39",15,1
24,"e_22,35,25,28","22,35","25,28",10,1
25,"e_22,35,33,34","22,35","33,34",12,2
26,"e_36,30,41,40","36,30","41,40",15,2
27,"e_36,30,45,26","36,30","45,26",13,3
28,"e_36,30,25,28","36,30","25,28",13,3
29,"e_36,30,41,34","36,30","41,34",9,3
30,"e_36,30,33,34","36,30","33,34",7,3
31,"e_36,30,39,40","36,30","39,40",13,4
32,"e_36,30,34,20","36,30","34,20",12,4
33,"e_36,30,30,22","36,30","30,22",14,4
34,"e_11,47,11,39","11,47","11,39",8,3
35,"e_11,47,10,46","11,47","10,46",2,3
36,"e_5,18,0,9","5,18","0,9",14,3
37,"e_10,46,11,39","10,46","11,39",8,3
38,"e_10,46,11,47","10,46","11,47",2,4
39,"e_6,1,15,4","6,1","15,4",12,2
40,"e_6,1,17,1","6,1","17,1",11,3
41,"e_6,1,0,9","6,1","0,9",14,4
42,"e_6,1,9,4","6,1","9,4",6,2
43,"e_25,28,16,25","25,28","16,25",12,1
44,"e_25,28,22,35","25,28","22,35",10,3
45,"e_25,28,36,30","25,28","36,30",13,3
46,"e_25,28,33,34","25,28","33,34",14,1
47,"e_25,28,30,22","25,28","30,22",11,1
48,"e_41,34,41,40","41,34","41,40",6,3
49,"e_41,34,45,44","41,34","45,44",14,4
50,"e_41,34,45,26","41,34","45,26",12,2
51,"e_41,34,36,30","41,34","36,30",9,3
52,"e_41,34,33,34","41,34","33,34",8,2
53,"e_41,34,39,40","41,34","39,40",8,2
54,"e_0,9,5,18","0,9","5,18",14,3
55,"e_0,9,6,1","0,9","6,1",14,4
56,"e_0,9,9,4","0,9","9,4",14,2
57,"e_34,5,31,4","34,5","31,4",4,2
58,"e_34,5,44,8","34,5","44,8",13,2
59,"e_34,5,34,20","34,5","34,20",15,4
60,"e_9,4,15,4","9,4","15,4",6,4
61,"e_9,4,17,1","9,4","17,1",11,4
62,"e_9,4,6,1","9,4","6,1",6,3
63,"e_9,4,0,9","9,4","0,9",14,3
64,"e_36,49,41,40","36,49","41,40",14,4
65,"e_36,49,45,44","36,49","45,44",14,3
66,"e_36,49,39,40","36,49","39,40",12,1
67,"e_44,8,34,5","44,8","34,5",13,1
68,"e_33,34,41,40","33,34","41,40",14,3
69,"e_33,34,22,35","33,34","22,35",12,3
70,"e_33,34,36,30","33,34","36,30",7,2
71,"e_33,34,25,28","33,34","25,28",14,3
72,"e_33,34,41,34","33,34","41,34",8,1
73,"e_33,34,39,40","33,34","39,40",12,1
74,"e_33,34,34,20","33,34","34,20",15,4
75,"e_33,34,30,22","33,34","30,22",15,2
76,"e_39,40,41,40","39,40","41,40",2,4
77,"e_39,40,45,44","39,40","45,44",10,2
78,"e_39,40,36,30","39,40","36,30",13,1
79,"e_39,40,41,34","39,40","41,34",8,4
80,"e_39,40,36,49","39,40","36,49",12,3
81,"e_39,40,33,34","39,40","33,34",12,2
82,"e_34,20,36,30","34,20","36,30",12,1
83,"e_34,20,34,5","34,20","34,5",15,1
84,"e_34,20,33,34","34,20","33,34",15,1
85,"e_34,20,30,22","34,20","30,22",6,4
86,"e_30,22,36,30","30,22","36,30",14,1
87,"e_30,22,25,28","30,22","25,28",11,2
88,"e_30,22,33,34","30,22","33,34",15,4
89,"e_30,22,34,20","30,22","34,20",6,2
90,"e_11,39,45,44","11,39","45,44",39,1
91,"e_11,39,33,34","11,39","33,34",27,2
92,"e_11,39,17,1","11,39","17,1",44,3
93,"e_41,40,34,5","41,40","34,5",42,4
94,"e_41,40,30,22","41,40","30,22",29,1
95,"e_41,40,34,20","41,40","34,20",27,2
96,"e_31,4,6,1","31,4","6,1",28,4
97,"e_31,4,34,20","31,4","34,20",19,4
98,"e_31,4,44,8","31,4","44,8",17,4
99,"e_45,44,34,5","45,44","34,5",50,2
100,"e_45,44,11,39","45,44","11,39",39,4
101,"e_45,44,44,8","45,44","44,8",37,3
102,"e_45,26,16,25","45,26","16,25",30,2
103,"e_45,26,33,34","45,26","33,34",20,2
104,"e_45,26,11,47","45,26","11,47",55,2
105,"e_15,4,22,35","15,4","22,35",38,4
106,"e_15,4,36,30","15,4","36,30",47,1
107,"e_15,4,30,22","15,4","30,22",33,4
108,"e_16,25,15,4","16,25","15,4",22,3
